Apply inverse spatial transformation,tforminv,,
,,,
Infer spatial transformation from control point pairs,cp2tform,,
Tune control-point locations using cross correlation,cpcorr,,
Control Point Selection Tool,cpselect,,
Convert CPSTRUCT to valid pairs of control points,cpstruct2pairs,,
Normalized 2-D cross-correlation,normxcorr2,,
,,,
Trace region boundaries in binary image,bwboundaries,,
Trace object in binary image,bwtraceboundary,,
Find corner points in image,corner,,
Create corner metric matrix from image,cornermetric,,
Find edges in grayscale image,edge,,
Hough transform,hough,,
Extract line segments based on Hough transform,houghlines,,
Identify peaks in Hough transform,houghpeaks,,
Quadtree decomposition,qtdecomp,,
Block values in quadtree decomposition,qtgetblk,,
Set block values in quadtree decomposition,qtsetblk,,
,,,
Entropy of grayscale image,entropy,,
Local entropy of grayscale image,entropyfilt,,
Create gray-level co-occurrence matrix from image,graycomatrix,,
Properties of gray-level co-occurrence matrix,graycoprops,,
Local range of image,rangefilt,,
Local standard deviation of image,stdfilt,,
,,,
2-D correlation coefficient,corr2,,
Create contour plot of image data,imcontour,,
Display histogram of image data,imhist,,
Pixel color values,impixel,,
Pixel-value cross-sections along line segments,improfile,,
Average or mean of matrix elements,mean2,,
Measure properties of image regions,regionprops,,
Standard deviation of matrix elements,std2,,
,,,
Absolute difference of two images,imabsdiff,,
Add two images or add constant to image,imadd,,
Complement image,imcomplement,,
Divide one image into another or divide image by constant,imdivide,,
Linear combination of images,imlincomb,,
Multiply two images or multiply image by constant,immultiply,,
Subtract one image from another or subtract constant from image,imsubtract,,
,,,
Contrast-limited adaptive histogram equalization (CLAHE),adapthisteq,,
Apply decorrelation stretch to multichannel image,decorrstretch,,
Enhance contrast using histogram equalization,histeq,,
Adjust image intensity values or colormap,imadjust,,
Add noise to image,imnoise,,
Convert integer values using lookup table,intlut,,
2-D median filtering,medfilt2,,
2-D order-statistic filtering,ordfilt2,,
Find limits to contrast stretch image,stretchlim,,
2-D adaptive noise-removal filtering,wiener2,,
,,,
Deblur image using blind deconvolution,deconvblind,,
Deblur image using Lucy-Richardson method,deconvlucy,,
Deblur image using regularized filter,deconvreg,,
Deblur image using Wiener filter,deconvwnr,,
Taper discontinuities along image edges,edgetaper,,
Convert optical transfer function to point-spread function,otf2psf,,
Convert point-spread function to optical transfer function,psf2otf,,
,,,
2-D convolution matrix,convmtx2,,
Create predefined 2-D filter,fspecial,,
N-D filtering of multidimensional images,imfilter,,
,,,
2-D frequency response,freqz2,,
2-D FIR filter using frequency sampling,fsamp2,,
2-D FIR filter using frequency transformation,ftrans2,,
2-D FIR filter using 1-D window method,fwind1,,
2-D FIR filter using 2-D window method,fwind2,,
,,,
2-D discrete cosine transform,dct2,,
Discrete cosine transform matrix,dctmtx,,
Convert fan-beam projections to parallel-beam,fan2para,,
Fan-beam transform,fanbeam,,
2-D inverse discrete cosine transform,idct2,,
Inverse fan-beam transform,ifanbeam,,
Inverse Radon transform,iradon,,
Convert parallel-beam projections to fan-beam,para2fan,,
Create head phantom image,phantom,,
Radon transform,radon,,
,,,
Create connectivity array,conndef,,
Bottom-hat filtering,imbothat,,
Suppress light structures connected to image border,imclearborder,,
Morphologically close image,imclose,,
Dilate image,imdilate,,
Erode image,imerode,,
Extended-maxima transform,imextendedmax,,
Extended-minima transform,imextendedmin,,
Fill image regions and holes,imfill,,
H-maxima transform,imhmax,,
H-minima transform,imhmin,,
Impose minima,imimposemin,,
Morphologically open image,imopen,,
Morphological reconstruction,imreconstruct,,
Regional maxima,imregionalmax,,
Regional minima,imregionalmin,,
Top-hat filtering,imtophat,,
Watershed transform,watershed,,
,,,
Generate convex hull image from binary image,bwconvhull,,
Neighborhood operations on binary images using lookup tables,applylut,,
Area of objects in binary image,bwarea,,
Morphologically open binary image (remove small objects),bwareaopen,,
Find connected components in binary image,bwconncomp,,
Distance transform of binary image,bwdist,,
Euler number of binary image,bweuler,,
Binary hit-miss operation,bwhitmiss,,
Label connected components in 2-D binary image,bwlabel,,
Label connected components in binary image,bwlabeln,,
Morphological operations on binary images,bwmorph,,
Pack binary image,bwpack,,
Find perimeter of objects in binary image,bwperim,,
Select objects in binary image,bwselect,,
Ultimate erosion,bwulterode,,
Unpack binary image,bwunpack,,
Top-hat filtering,imtophat,,
Create lookup table for use with ``applylut``,makelut,,
,,,
Height of structuring element,getheight,,
Structuring element neighbor locations and heights,getneighbors,,
Structuring element neighborhood,getnhood,,
Sequence of decomposed structuring elements,getsequence,,
True for flat structuring element,isflat,,
Reflect structuring element,reflect,,
Create morphological structuring element (``STREL``),strel,,
Translate structuring element (``STREL``),translate,,
,,,
Convert region of interest (ROI) polygon to region mask,poly2mask,,
Select region of interest (ROI) based on color,roicolor,,
Fill in specified region of interest (ROI) polygon in grayscale image,roifill,,
Filter region of interest (ROI) in image,roifilt2,,
Specify polygonal region of interest (ROI),roipoly,,
,,,
Determine optimal block size for block processing,bestblk,,
Distinct block processing for image,blockproc,,
Close ImageAdapter object,close (ImageAdapter),,
Rearrange matrix columns into blocks,col2im,,
Columnwise neighborhood operations,colfilt,,
Rearrange image blocks into columns,im2col,,
Interface for image I/O,ImageAdapter,,
General sliding-neighborhood operations,nlfilter,,
Read region of image,readRegion (ImageAdapter),,
Write block of data to region of image,writeRegion (ImageAdapter),,
,,,
Apply device-independent color space transformation,applycform,,
Search for ICC profiles,iccfind,,
Read ICC profile,iccread,,
Find system default ICC profile repository,iccroot,,
Write ICC color profile to disk file,iccwrite,,
True for valid ICC color profile,isicc,,
Convert L*a*b* data to double,lab2double,,
Convert L*a*b* data to uint16,lab2uint16,,
Convert L*a*b* data to uint8,lab2uint8,,
Create color transformation structure,makecform,,
Convert NTSC values to RGB color space,ntsc2rgb,,
Convert RGB color values to NTSC color space,rgb2ntsc,,
Convert RGB color values to YCbCr color space,rgb2ycbcr,,
XYZ color values of standard illuminants,whitepoint,,
Convert XYZ color values to double,xyz2double,,
Convert XYZ color values to uint16,xyz2uint16,,
Convert YCbCr color values to RGB color space,ycbcr2rgb,,
,,,
Default display range of image based on its class,getrangefromclass,,
Check validity of connectivity argument,iptcheckconn,,
Check validity of array,iptcheckinput,,
Check validity of colormap,iptcheckmap,,
Check number of input arguments,iptchecknargin,,
Check validity of option string,iptcheckstrs,,
Convert positive integer to ordinal string,iptnum2ordinal,,
,,,
Pad array,padarray,,
,,,
Check for presence of Intel Integrated Performance Primitives (Intel IPP) library,ippl,,
